0,1,2,3,4,5,6
1739365098833.2556,-3.9555656258016825e-05,1.6062929717008956e-05,1.710737524263095e-05,6.281568403210258e-06,-4.023238579975441e-05,-4.631224783224752e-06
1739365098833.759,-3.916507193935104e-05,1.5801690096850507e-05,1.809267450880725e-05,5.313189376465743e-06,-4.0194288885686547e-05,5.335316473065177e-07
1739365098834.2625,-4.1276631236542016e-05,1.571511347719934e-05,1.9520883142831735e-05,4.354738393885782e-06,-4.236883978592232e-05,1.065447918335849e-06
1739365098834.7656,-4.130720844841562e-05,1.5233571502903942e-05,1.9234968931414187e-05,2.0901313746435335e-06,-4.533657192951068e-05,-1.6948239363046014e-06
1739365098835.269,-3.853903035633266e-05,1.37165870910394e-05,1.6820195014588535e-05,-1.7664181086729513e-06,-4.555730629363097e-05,-5.477275408338755e-06
1739365098835.7725,-3.9726717659505084e-05,1.3239450709079392e-05,1.5898232959443703e-05,-4.1732073441380635e-06,-4.6223434765124694e-05,-1.0388917871750891e-05
1739365098836.276,-4.092042945558205e-05,1.3445269360090606e-05,1.6906977180042304e-05,-3.7066381537442794e-06,-4.2617335566319525e-05,-9.183198926621117e-06
1739365098836.779,-4.46036719949916e-05,1.479698494222248e-05,1.8750453818938695e-05,-2.049465365416836e-06,-4.290104698156938e-05,-8.486581464239862e-06
1739365098837.2825,-4.2637839214876294e-05,1.516130032541696e-05,1.836287265177816e-05,3.796657779275847e-07,-4.1411865822738037e-05,-8.207502105506137e-06
1739365098837.786,-4.35378315160051e-05,1.5329085726989433e-05,1.9240989786339924e-05,2.6380289455119055e-06,-4.442149293026887e-05,-1.2167593922640663e-05
1739365098838.2893,-4.1240029531763867e-05,1.3580332961282693e-05,1.8363562048762105e-05,3.719367214216618e-06,-4.2677391320466995e-05,-9.55676023295382e-06
1739365098838.7925,-4.322919630794786e-05,1.3162401046429295e-05,1.921841067087371e-05,5.282597157929558e-06,-4.335357152740471e-05,-8.21444973553298e-06
1739365098839.296,-4.189806350041181e-05,1.3019546713621821e-05,1.7766065866453573e-05,6.443252914323239e-06,-4.017784522147849e-05,-7.307149189728079e-06
1739365098839.7993,-4.21991826442536e-05,1.2951927601534408e-05,1.5933230315567926e-05,7.0500113906746265e-06,-4.086495391675271e-05,-1.201678333018208e-05
1739365098840.3027,-3.949072561226785e-05,1.1722492672561202e-05,1.3831302567268722e-05,7.301295681827469e-06,-3.9284946979023516e-05,-1.381125912303105e-05
1739365098840.806,-4.399489625939168e-05,1.1200940207345411e-05,1.4265340723795816e-05,8.730437002668623e-06,-4.195692599751055e-05,-1.57968643179629e-05
1739365098841.3093,-4.531440572463907e-05,1.196274024550803e-05,1.596002584847156e-05,7.877521056798287e-06,-4.135564449825324e-05,-1.601239273441024e-05
1739365098841.8127,-4.6882272727089e-05,1.250377044925699e-05,1.749545117490925e-05,5.09763958689291e-06,-4.2480387492105365e-05,-1.994301419472322e-05
1739365098842.3162,-4.586415525409393e-05,1.1488746167742647e-05,1.4506118532153778e-05,4.402608738018898e-06,-4.153382178628817e-05,-1.9410221284488216e-05
1739365098842.8193,-4.641925625037402e-05,1.0519227544136811e-05,1.3262389984447509e-05,4.889456249657087e-06,-4.230190461385064e-05,-1.729487848933786e-05
1739365098843.3228,-4.647174500860274e-05,1.0350409866077825e-05,1.5133333363337442e-05,3.5342791306902654e-06,-4.170943793724291e-05,-1.5409568732138723e-05
1739365098843.8262,-4.706919571617618e-05,1.0450403351569548e-05,1.7134319932665676e-05,1.8828720271812927e-07,-4.2131898226216435e-05,-1.6559015421080403e-05
1739365098844.3296,-4.592023469740525e-05,9.885767212836072e-06,1.7469641534262337e-05,-2.864008592950995e-06,-4.089309732080437e-05,-1.710892865958158e-05
1739365098844.8328,-4.655319935409352e-05,9.699856491351966e-06,1.841130870161578e-05,-4.596320195560111e-06,-3.8887948903720826e-05,-1.844555481511634e-05
1739365098845.3362,-4.714735405286774e-05,1.0218744137091562e-05,1.8411059500067495e-05,-3.7185031942499336e-06,-3.9804072002880275e-05,-2.140110154869035e-05
1739365098845.8396,-4.641887062462047e-05,1.1261417057539802e-05,1.8478811398381367e-05,-1.8482812720321817e-06,-4.157438161200844e-05,-2.1236184693407267e-05
1739365098846.343,-4.5645967475138605e-05,1.202760267915437e-05,1.84809832717292e-05,1.1131276096421061e-06,-4.121148231206462e-05,-1.8623730284161866e-05
1739365098846.8464,-4.6308869059430435e-05,1.241091376869008e-05,1.8416916645946912e-05,3.5695861697604414e-06,-3.967124575865455e-05,-1.7649961591814645e-05
1739365098847.3496,-4.761517629958689e-05,1.2653641533688642e-05,1.7811687939683907e-05,4.725266080640722e-06,-3.87387590308208e-05,-2.002001019718591e-05
1739365098847.853,-4.667737812269479e-05,1.234073715750128e-05,1.597568189026788e-05,4.038703536934918e-06,-3.7669822631869465e-05,-1.972759491764009e-05
1739365098848.3564,-4.79523187095765e-05,1.217508179252036e-05,1.5373829228337854e-05,2.647429255375755e-06,-3.8390142435673624e-05,-1.6802121535874903e-05
1739365098848.8599,-4.9222981033381075e-05,1.1680065654218197e-05,1.5470313883270137e-05,4.036207428725902e-06,-3.7800517020514235e-05,-1.3514847523765638e-05
1739365098849.363,-5.104104275233112e-05,1.181193147203885e-05,1.563096884638071e-05,8.324766895384528e-06,-3.8550544559257105e-05,-1.4702245607622899e-05
1739365098849.8665,-4.981958772987127e-05,1.0927703442575876e-05,1.4724575521540828e-05,1.261444776901044e-05,-3.951987673644908e-05,-1.555463495606091e-05
1739365098850.3699,-4.951231676386669e-05,9.603579201211687e-06,1.4818973795627244e-05,1.3710297025681939e-05,-4.2707702959887683e-05,-1.715190774120856e-05
1739365098850.8733,-4.830892794416286e-05,9.317231160821393e-06,1.556975257699378e-05,1.3162847608327866e-05,-4.297089617466554e-05,-1.7729833416524343e-05
1739365098851.3765,-4.826912845601328e-05,1.0082245353260078e-05,1.7581030988367274e-05,1.3413307897280902e-05,-4.4017906475346535e-05,-1.7829390344559215e-05
1739365098851.88,-4.5114360545994714e-05,1.0060815839096904e-05,1.83049251063494e-05,1.4328521501738578e-05,-4.459276169654913e-05,-1.5311388779082336e-05
1739365098852.3833,-4.368114605313167e-05,1.0154340998269618e-05,1.8316663044970483e-05,1.4214448128768709e-05,-4.5975943066878244e-05,-1.5779132809257135e-05
